SI,SNR,SPL,BN,RT,G
100,10,80,70,0.767,1
85,5,60,55,0.767,1
70,0,50,50,1.073,1
90,0,70,70,0.767,1
95,15,80,65,1.523,1
100,15,60,45,1.2992,1
100,10,50,40,1.523,1
95,5,70,65,1.523,1
100,10,80,70,1.292,1
100,15,60,45,1.073,1
90,15,50,35,0.767,1
100,10,70,60,1.073,1
90,5,80,75,1.292,1
75,0,60,60,1.523,1
80,0,50,50,1.292,1
90,2,70,68,1.073,1
100,10,80,70,0.767,1
90,5,60,55,0.767,1
80,0,50,50,1.073,1
80,0,70,70,0.767,1
100,15,80,65,1.523,1
95,15,60,45,1.2992,1
95,10,50,40,1.523,1
100,5,70,65,1.523,1
95,10,80,70,1.292,1
100,15,60,45,1.073,1
95,15,50,35,0.767,1
95,10,70,60,1.073,1
85,5,80,75,1.292,1
85,0,60,60,1.523,1
85,0,50,50,1.292,1
90,5,70,68,1.073,1
100,10,80,70,0.767,1
85,5,60,55,0.767,1
80,0,50,50,1.073,1
80,0,70,70,0.767,1
95,15,80,65,1.523,0
90,15,60,45,1.2992,0
90,10,50,40,1.523,0
95,5,70,65,1.523,0
95,10,80,70,1.292,0
100,15,60,45,1.073,0
85,15,50,35,0.767,0
100,10,70,60,1.073,0
85,5,80,75,1.292,0
85,0,60,60,1.523,0
80,0,50,50,1.292,0
85,5,70,68,1.073,0
95,10,80,70,0.767,0
85,5,60,55,0.767,0
70,0,50,50,1.073,0
80,0,70,70,0.767,0
95,15,80,65,1.523,1
95,15,60,45,1.2992,1
90,10,50,40,1.523,1
90,5,70,65,1.523,1
100,10,80,70,1.292,1
95,15,60,45,1.073,1
95,15,50,35,0.767,1
100,10,70,60,1.073,1
90,5,80,75,1.292,1
85,0,60,60,1.523,1
75,0,50,50,1.292,1
85,5,70,68,1.073,1
100,10,80,70,0.767,1
90,5,60,55,0.767,1
80,0,50,50,1.073,1
75,0,70,70,0.767,1
70,15,80,65,1.523,1
80,15,60,45,1.2992,1
65,10,50,40,1.523,1
55,5,70,65,1.523,1
60,10,80,70,1.292,1
65,15,60,45,1.073,1
70,15,50,35,0.767,1
65,10,70,60,1.073,1
50,5,80,75,1.292,1
45,0,60,60,1.523,1
55,0,50,50,1.292,1
70,5,70,68,1.073,1
80,10,80,70,0.767,1
70,5,60,55,0.767,1
45,0,50,50,1.073,1
70,0,70,70,0.767,1
100,15,80,65,1.523,1
100,15,60,45,1.2992,1
55,10,50,40,1.523,1
100,5,70,65,1.523,1
100,10,80,70,1.292,1
95,15,60,45,1.073,1
85,15,50,35,0.767,1
